DeepJet;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.4, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0, 0.08, 1.21510434151
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.08, 0.2, (1.32271+-1.34512*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.2, 0.28, (1.05654+-0.0142589*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.28, 0.36, (1.12225+-0.248946*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.36, 0.44, (1.19553+-0.452482*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.44, 0.52, (1.3658+-0.839467*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.52, 0.6, (0.677982+0.483262*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.6, 0.68, (1.71017+-1.23706*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.68, 0.76, (0.818242+0.0746056*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.76, 0.82, (1.50206+-0.82515*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.82, 0.86, (-2.05413+3.51166*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.86, 0.9, (2.99152+-2.35538*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.9, 0.935, (0.446322+0.472626*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.935, 0.965, (-0.515273+1.50107*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.965, 0.995, (5.37478+-4.60261*x)
3, iterativefit, central, 0, 0.0, 2.4, 20, 30, 0.995, 1.1, 0.795180559158
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0, 0.08, 1.07638394833
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.08, 0.2, (1.05547+0.261451*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.2, 0.28, (1.18638+-0.393109*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.28, 0.36, (1.23913+-0.581519*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.36, 0.44, (0.900532+0.359043*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.44, 0.52, (1.16818+-0.249241*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.52, 0.6, (1.45724+-0.805128*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.6, 0.68, (0.893791+0.133951*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.68, 0.76, (1.03492+-0.0735879*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.76, 0.82, (1.42077+-0.581291*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.82, 0.86, (-0.256977+1.46474*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.86, 0.9, (0.993638+0.0105411*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.9, 0.935, (1.94593+-1.04756*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.935, 0.965, (1.02953+-0.0674546*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.965, 0.995, (2.41628+-1.5045*x)
3, iterativefit, central, 0, 0.0, 2.4, 30, 50, 0.995, 1.1, 0.919301509857
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0, 0.08, 1.09475290775
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.08, 0.2, (1.16031+-0.819464*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.2, 0.28, (0.754901+1.20758*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.28, 0.36, (1.10369+-0.0380948*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.36, 0.44, (1.5252+-1.20896*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.44, 0.52, (0.596738+0.901184*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.52, 0.6, (1.69107+-1.20329*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.6, 0.68, (0.431617+0.895789*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.68, 0.76, (1.09635+-0.0817537*x)
3, iterativefit, central, 0, 0.0, 2.4, 50, 70, 0.76, 0.82, (1.63398+-0.789165*x)
