DeepFlavour;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0, 0.08, 1.55639338493
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.08, 0.2, (1.83008+-3.42108*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.2, 0.28, (1.04163+0.521156*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.28, 0.36, (1.85688+-2.39046*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.36, 0.44, (1.18579+-0.526313*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.44, 0.52, (1.74833+-1.8048*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.52, 0.6, (0.110183+1.34548*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.6, 0.68, (0.983172+-0.109506*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.68, 0.76, (1.33906+-0.63287*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.76, 0.82, (0.598422+0.341653*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.82, 0.86, (1.85004+-1.18471*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.86, 0.9, (0.556212+0.31974*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.9, 0.935, (1.38323+-0.599173*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.935, 0.965, (2.03487+-1.29611*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.965, 0.995, (4.63987+-3.9956*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.995, 1.1, 0.664256095886
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0, 0.08, 1.26599538326
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.08, 0.2, (1.33818+-0.902342*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.2, 0.28, (1.2631+-0.526932*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.28, 0.36, (1.39136+-0.984997*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.36, 0.44, (0.833745+0.563931*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.44, 0.52, (1.37128+-0.65773*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.52, 0.6, (1.19675+-0.322095*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.6, 0.68, (0.599498+0.673318*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.68, 0.76, (1.19344+-0.200124*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.76, 0.82, (1.83874+-1.04921*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.82, 0.86, (0.618286+0.439154*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.86, 0.9, (0.393025+0.701085*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.9, 0.935, (2.26753+-1.3817*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.935, 0.965, (2.08581+-1.18734*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.965, 0.995, (4.10982+-3.28477*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.995, 1.1, 0.841478645802
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0, 0.08, 1.29434108734
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.08, 0.2, (1.36892+-0.932193*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.2, 0.28, (1.40212+-1.09823*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.28, 0.36, (1.23666+-0.507283*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.36, 0.44, (1.02489+0.0809759*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.44, 0.52, (1.0472+0.0302687*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.52, 0.6, (1.8386+-1.49166*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.6, 0.68, (0.446055+0.829247*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.68, 0.76, (0.828+0.267562*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.76, 0.82, (1.34079+-0.407163*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.82, 0.86, (1.4824+-0.579859*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.86, 0.9, (0.519909+0.539319*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.9, 0.935, (1.84836+-0.93674*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.935, 0.965, (0.127802+0.903432*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.965, 0.995, (4.87367+-4.01457*x)
