DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, -15, 0, 1.15244174004
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0, 0.0761, 0.963585853577
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.0761, 0.18635, (0.800652+2.14105*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.18635, 0.2547, (1.37325+-0.931634*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.2547, 0.3231, (0.96768+0.660697*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.3231, 0.3915, (1.64846+-1.44631*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.3915, 0.4599, (1.44087+-0.916071*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.4599, 0.5247, (0.63579+0.834474*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.5247, 0.5859, (1.85799+-1.49486*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.5859, 0.6471, (0.806681+0.299491*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.6471, 0.7083, (0.596719+0.623957*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.7083, 0.7695, (2.40617+-1.93068*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.7695, 0.82105, (-0.574953+1.94342*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.82105, 0.863, (2.16446+-1.39306*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.863, 0.905, (2.35958+-1.61915*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.905, 0.947, (-0.862665+1.94134*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.947, 0.989, (5.30345+-4.56987*x)
