OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0, 0.08, 1.12937343121
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.08, 0.2, (1.17389+-0.55648*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.2, 0.28, (0.909746+0.764251*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.28, 0.36, (1.27673+-0.546396*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.36, 0.44, (1.27774+-0.549208*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.44, 0.52, (1.21811+-0.41368*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.52, 0.6, (0.926209+0.147662*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.6, 0.68, (0.937334+0.12912*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.68, 0.76, (1.20775+-0.268555*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.76, 0.82, (1.91276+-1.19619*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.82, 0.86, (0.365012+0.691302*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.86, 0.9, (0.283568+0.786005*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.9, 0.935, (2.97445+-2.20386*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.935, 0.965, (1.22318+-0.330848*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.965, 0.995, (5.13458+-4.38411*x)
3, iterativefit, central, 0, 0.0, 2.5, 20, 30, 0.995, 1.1, 0.772388458252
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0, 0.08, 1.1739783287
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.08, 0.2, (1.18827+-0.178682*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.2, 0.28, (1.21446+-0.309631*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.28, 0.36, (1.65431+-1.88053*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.36, 0.44, (0.402021+1.59806*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.44, 0.52, (1.35494+-0.567667*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.52, 0.6, (1.51187+-0.86946*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.6, 0.68, (0.677797+0.52067*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.68, 0.76, (1.36543+-0.490558*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.76, 0.82, (0.921343+0.093769*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.82, 0.86, (1.13245+-0.163683*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.86, 0.9, (1.43628+-0.516975*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.9, 0.935, (0.191372+0.866262*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.935, 0.965, (2.72611+-1.84468*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.965, 0.995, (3.49326+-2.63966*x)
3, iterativefit, central, 0, 0.0, 2.5, 30, 50, 0.995, 1.1, 0.866796374321
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, -15, 0, 0.0
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0, 0.08, 1.23910605907
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.08, 0.2, (1.31316+-0.925686*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.2, 0.28, (1.2276+-0.497891*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.28, 0.36, (1.10535+-0.0612661*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.36, 0.44, (0.938908+0.401065*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.44, 0.52, (1.35478+-0.544104*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.52, 0.6, (1.53384+-0.888443*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.6, 0.68, (0.630343+0.617382*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.68, 0.76, (1.39018+-0.500026*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.76, 0.82, (1.72175+-0.9363*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.82, 0.86, (-0.142294+1.33692*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.86, 0.9, (1.27159+-0.307125*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.9, 0.935, (2.34347+-1.4981*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.935, 0.965, (-0.413113+1.45011*x)
3, iterativefit, central, 0, 0.0, 2.5, 50, 70, 0.965, 0.995, (4.29485+-3.4286*x)
